studentId,Predmet,BrojKredita,Ocjena,PolozioDatum,Godina,SkolskaGodina,Semestar,Priznat,datum_upisa,Spol,ZavrsenaSkolaId,Srednja_skola,opstina_rodjenja,GodinaZavrsetka,datum_diplomiranja,nacin_studiranja,opstina_prebivalista
16450,P-150,7,10,21. veljaèe 2023.,3,2021/2022,5,False,20. srpnja 2018.,M,2,Elektrotehnièka,Gorade,2017/2018,,DL,Gorade
16510,P-177,7,9,21. sijeènja 2020.,2,2019/2020,3,False,24. rujna 2018.,,1,Gimnazija,Kakanj,2017/2018,,Redovan samofinansirajuæi,Kakanj
16517,P-177,7,6,15. rujna 2022.,2,2019/2020,3,False,25. rujna 2018.,,1,Gimnazija,Konjic,2017/2018,,DL,Konjic
16469,P-177,7,9,27. oujka 2023.,2,2020/2021,3,False,20. srpnja 2018.,,1,Gimnazija,Bihaæ,2017/2018,,DL,Bosanska Krupa
16389,P-177,7,9,8. srpnja 2022.,2,2019/2020,3,False,19. srpnja 2018.,M,1,Gimnazija,Sarajevo - Centar,2017/2018,,DL,Sarajevo - Centar
16439,P-177,7,6,18. veljaèe 2020.,2,2019/2020,3,False,20. srpnja 2018.,M,1,Gimnazija,Velika Kladua,2017/2018,,Redovan samofinansirajuæi,Sanski Most
16324,P-177,7,6,7. sijeènja 2022.,2,2019/2020,3,False,17. srpnja 2018.,,1,Gimnazija,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16387,P-177,7,9,30. studenog 2022.,2,2019/2020,3,False,19. srpnja 2018.,M,1,Gimnazija,Sarajevo - Centar,2017/2018,,DL,Sarajevo-Novo Sarajevo
16501,P-177,7,8,7. sijeènja 2022.,2,2019/2020,3,False,21. srpnja 2018.,,1,Gimnazija,Travnik,2017/2018,,Redovan samofinansirajuæi,Jajce
16424,P-177,7,7,18. veljaèe 2021.,2,2019/2020,3,False,20. srpnja 2018.,M,1,Gimnazija,Sarajevo - Centar,2017/2018,,DL,Visoko
16386,P-177,7,7,15. rujna 2022.,2,2020/2021,3,False,19. srpnja 2018.,M,1,Gimnazija,Sarajevo-Novo Sarajevo,2017/2018,,DL,Sarajevo-Novo Sarajevo
16326,P-150,7,8,15. rujna 2022.,3,2020/2021,5,False,17. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16324,P-150,7,7,29. kolovoza 2023.,3,2020/2021,5,False,17. srpnja 2018.,,1,Gimnazija,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16501,P-150,7,9,29. kolovoza 2023.,3,2020/2021,5,False,21. srpnja 2018.,,1,Gimnazija,Travnik,2017/2018,,Redovan samofinansirajuæi,Jajce
16510,P-150,7,9,25. veljaèe 2021.,3,2020/2021,5,False,24. rujna 2018.,,1,Gimnazija,Kakanj,2017/2018,,Redovan samofinansirajuæi,Kakanj
16463,P-150,7,7,21. veljaèe 2023.,3,2021/2022,5,False,20. srpnja 2018.,,1,Gimnazija,Mostar,2017/2018,,DL,Èapljina
16510,P-157,7,8,24. rujna 2021.,3,2020/2021,6,False,24. rujna 2018.,,1,Gimnazija,Kakanj,2017/2018,,Redovan samofinansirajuæi,Kakanj
16334,P-177,7,8,31. kolovoza 2021.,2,2020/2021,3,False,18. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,DL,Jablanica
16371,P-150,7,9,25. veljaèe 2021.,3,2020/2021,5,False,18. srpnja 2018.,,1,Gimnazija,Zenica,2017/2018,,Redovan samofinansirajuæi,Zavidoviæi
16348,P-150,7,8,3. veljaèe 2022.,3,2020/2021,5,False,18. srpnja 2018.,M,13,Tehnièka,Travnik,2017/2018,,DL,Gornji Vakuf - Uskoplje
16349,P-150,7,8,3. veljaèe 2022.,3,2020/2021,5,False,18. srpnja 2018.,M,13,Tehnièka,Bugojno,2017/2018,,DL,Bugojno
16335,P-150,7,9,24. veljaèe 2022.,3,2020/2021,5,False,18. srpnja 2018.,,1,Gimnazija,Mostar,2017/2018,,DL,Mostar
16365,P-150,7,10,3. veljaèe 2022.,3,2020/2021,5,False,18. srpnja 2018.,,6,Ekonomska,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16374,P-150,7,9,31. sijeènja 2023.,3,2020/2021,5,False,18. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,DL,Mostar
16379,P-150,7,8,3. veljaèe 2022.,3,2020/2021,5,False,18. srpnja 2018.,M,2,Elektrotehnièka,Sarajevo - Centar,2017/2018,,DL,Visoko
16339,P-150,7,8,29. oujka 2022.,3,2020/2021,5,False,18. srpnja 2018.,,2,Elektrotehnièka,Visoko,2017/2018,,Redovan samofinansirajuæi,Visoko
16345,P-150,7,9,8. srpnja 2021.,3,2020/2021,5,False,18. srpnja 2018.,,13,Tehnièka,Bugojno,2017/2018,,Redovan samofinansirajuæi,Donji Vakuf
16331,P-150,7,8,1. rujna 2022.,3,2021/2022,5,False,18. srpnja 2018.,M,4,Medicinska,Zenica,2017/2018,,DL,Zenica
16334,P-150,7,10,3. veljaèe 2022.,3,2021/2022,5,False,18. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,DL,Jablanica
16334,P-157,7,8,6. rujna 2022.,3,2021/2022,6,False,18. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,DL,Jablanica
16371,P-157,7,6,7. rujna 2023.,3,2020/2021,6,False,18. srpnja 2018.,,1,Gimnazija,Zenica,2017/2018,,Redovan samofinansirajuæi,Zavidoviæi
16349,P-177,7,6,21. sijeènja 2020.,2,2019/2020,3,False,18. srpnja 2018.,M,13,Tehnièka,Bugojno,2017/2018,,DL,Bugojno
16331,P-177,7,6,28. sijeènja 2021.,2,2019/2020,3,False,18. srpnja 2018.,M,4,Medicinska,Zenica,2017/2018,,DL,Zenica
16358,P-177,7,6,12. rujna 2023.,2,2019/2020,3,False,18. srpnja 2018.,,18,Medresa,Zenica,2017/2018,,DL,Tuzla
16342,P-177,7,9,1. rujna 2022.,2,2019/2020,3,False,18. srpnja 2018.,M,1,Gimnazija,Sarajevo - Centar,2017/2018,,Vanredan,Ilida
16370,P-177,7,7,21. rujna 2020.,2,2019/2020,3,False,18. srpnja 2018.,M,2,Elektrotehnièka,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16352,P-177,7,8,18. veljaèe 2021.,2,2019/2020,3,False,18. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,DL,Mostar
16335,P-177,7,8,28. sijeènja 2021.,2,2019/2020,3,False,18. srpnja 2018.,,1,Gimnazija,Mostar,2017/2018,,DL,Mostar
16338,P-177,7,6,11. sijeènja 2023.,2,2019/2020,3,False,18. srpnja 2018.,M,6,Ekonomska,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16374,P-177,7,6,18. veljaèe 2020.,2,2019/2020,3,False,18. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,DL,Mostar
16345,P-177,7,6,21. sijeènja 2020.,2,2019/2020,3,False,18. srpnja 2018.,,13,Tehnièka,Bugojno,2017/2018,,Redovan samofinansirajuæi,Donji Vakuf
16379,P-177,7,6,21. sijeènja 2020.,2,2019/2020,3,False,18. srpnja 2018.,M,2,Elektrotehnièka,Sarajevo - Centar,2017/2018,,DL,Visoko
16344,P-177,7,6,14. rujna 2021.,2,2019/2020,3,False,18. srpnja 2018.,M,1,Gimnazija,Sjenica,2017/2018,,DL,Ilida
16354,P-177,7,8,7. srpnja 2021.,2,2019/2020,3,False,18. srpnja 2018.,M,18,Medresa,Tuzla,2017/2018,,DL,ivinice
16339,P-177,7,9,1. prosinca 2021.,2,2019/2020,3,False,18. srpnja 2018.,,2,Elektrotehnièka,Visoko,2017/2018,,Redovan samofinansirajuæi,Visoko
16337,P-177,7,6,21. sijeènja 2020.,2,2019/2020,3,False,18. srpnja 2018.,M,1,Gimnazija,Zenica,2017/2018,,DL,Zenica
16348,P-177,7,6,21. sijeènja 2020.,2,2019/2020,3,False,18. srpnja 2018.,M,13,Tehnièka,Travnik,2017/2018,,DL,Gornji Vakuf - Uskoplje
16371,P-177,7,6,18. veljaèe 2020.,2,2019/2020,3,False,18. srpnja 2018.,,1,Gimnazija,Zenica,2017/2018,,Redovan samofinansirajuæi,Zavidoviæi
16463,P-177,7,6,2. studenog 2022.,2,2018/2019,3,False,20. srpnja 2018.,,1,Gimnazija,Mostar,2017/2018,,DL,Èapljina
16365,P-177,7,10,21. rujna 2020.,2,2018/2019,3,False,18. srpnja 2018.,,6,Ekonomska,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16460,P-177,7,6,4. rujna 2020.,2,2018/2019,3,False,20. srpnja 2018.,M,23,Mjeovita srednja kola,Travnik,2017/2018,,Redovan samofinansirajuæi,Travnik
16326,P-177,7,6,7. srpnja 2021.,2,2018/2019,3,False,17. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16320,P-175,7,7,29. lipnja 2019.,1,2018/2019,1,False,17. srpnja 2018.,M,2,Elektrotehnièka,Mostar,2017/2018,,DL,Mostar
16321,P-175,7,7,24. kolovoza 2019.,1,2018/2019,1,False,17. srpnja 2018.,M,2,Elektrotehnièka,Sarajevo - Centar,2017/2018,,DL,Ilida
16322,P-175,7,6,9. veljaèe 2019.,1,2018/2019,1,False,17. srpnja 2018.,M,3,Mainska,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16324,P-175,7,6,24. kolovoza 2019.,1,2018/2019,1,False,17. srpnja 2018.,,1,Gimnazija,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16326,P-175,7,8,26. sijeènja 2019.,1,2018/2019,1,False,17. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16325,P-175,7,7,7. rujna 2019.,1,2018/2019,1,False,17. srpnja 2018.,,1,Gimnazija,Mostar,2017/2018,,DL,Mostar
16328,P-175,7,8,24. kolovoza 2019.,1,2018/2019,1,False,17. srpnja 2018.,,1,Gimnazija,Mostar,2017/2018,,DL,Mostar
16331,P-175,7,6,26. sijeènja 2019.,1,2018/2019,1,False,18. srpnja 2018.,M,4,Medicinska,Zenica,2017/2018,,DL,Zenica
16334,P-175,7,7,6. srpnja 2020.,1,2018/2019,1,False,18. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,DL,Jablanica
16335,P-175,7,6,9. veljaèe 2019.,1,2018/2019,1,False,18. srpnja 2018.,,1,Gimnazija,Mostar,2017/2018,,DL,Mostar
16337,P-175,7,8,26. sijeènja 2019.,1,2018/2019,1,False,18. srpnja 2018.,M,1,Gimnazija,Zenica,2017/2018,,DL,Zenica
16338,P-175,7,6,24. kolovoza 2019.,1,2018/2019,1,False,18. srpnja 2018.,M,6,Ekonomska,Mostar,2017/2018,,Redovan samofinansirajuæi,Mostar
16339,P-175,7,6,29. lipnja 2019.,1,2018/2019,1,False,18. srpnja 2018.,,2,Elektrotehnièka,Visoko,2017/2018,,Redovan samofinansirajuæi,Visoko
16342,P-175,7,6,9. veljaèe 2019.,1,2018/2019,1,False,18. srpnja 2018.,M,1,Gimnazija,Sarajevo - Centar,2017/2018,,Vanredan,Ilida
16344,P-175,7,6,29. lipnja 2019.,1,2018/2019,1,False,18. srpnja 2018.,M,1,Gimnazija,Sjenica,2017/2018,,DL,Ilida
16345,P-175,7,9,26. sijeènja 2019.,1,2018/2019,1,False,18. srpnja 2018.,,13,Tehnièka,Bugojno,2017/2018,,Redovan samofinansirajuæi,Donji Vakuf
16348,P-175,7,6,9. veljaèe 2019.,1,2018/2019,1,False,18. srpnja 2018.,M,13,Tehnièka,Travnik,2017/2018,,DL,Gornji Vakuf - Uskoplje
16349,P-175,7,6,26. sijeènja 2019.,1,2018/2019,1,False,18. srpnja 2018.,M,13,Tehnièka,Bugojno,2017/2018,,DL,Bugojno
16353,P-175,7,6,6. srpnja 2020.,1,2018/2019,1,False,18. srpnja 2018.,,1,Gimnazija,Konjic,2017/2018,,DL,Jablanica
16352,P-175,7,8,9. veljaèe 2019.,1,2018/2019,1,False,18. srpnja 2018.,M,1,Gimnazija,Mostar,2017/2018,,DL,Mostar
16354,P-175,7,8,26. sijeènja 2019.,1,2018/2019,1,False,18. srpnja 2018.,M,18,Medresa,Tuzla,2017/2018,,DL,ivinice
16357,P-175,7,10,9. veljaèe 2019.,1,2018/2019,1,False,18. srpnja 2018.,M,13,Tehnièka,Gorade,2017/2018,,DL,Gorade
